status;HolderAddress;Balance V1;Post LP drain movements;V2 Migration Qty;comment;;0x7b1ab81f951b9fb609de4c162e0dedecdd6cc54f; 13 846,00   ;#N/A
token not transferred;0x59196fd2a0c4feacd639445c9d384bc59ced5819; 1 693 729,36 ;-1 452 411,00 ; 241 318,36 ;post LP drain after /10 of the price;;;;
transfer to 249F;0x842cc1db334ab7d042b2395a60625ad634af5990; 1 670 315,78 ;; 1 670 315,78 ;ok;;;;
transfer to 249F;0xa09e880aeefe0dcb998ca4336aafd31ab85d800b; 1 667 139,33 ;; 1 667 139,33 ;ok;;;;
transfer to 249F;0x8b44d11a6b9593ac7f925395c7474635d840e771; 1 648 500,38 ;; 1 648 500,38 ;ok;;;;
token not transferred;0x0e91c08b5a2c468425e5c8aa454c7dede9a416ba; 1 647 884,70 ;; 1 647 884,70 ;ok;;;;
transfer to 249F;0x6a4002e34ae7070c648c600fed6fd0818eece5ee; 1 630 424,85 ;; 1 630 424,85 ;ok;;;;
transfer to 249F;0x859b64a622e588c047a90a85e50bd074c3a3b0b5; 1 614 052,30 ;; 1 614 052,30 ;ok;;;;
transfer to 249F;0xf37418d439a0a1e3fa59c16525b1eaf4190b6733; 1 544 176,24 ;; 1 544 176,24 ;ok;;;;
transfer to 249F;0x70a429f92465e512884b4e8dfdaa3e0bb077aca2; 1 490 511,65 ;; 1 490 511,65 ;ok;;;;
transfer to 249F;0xe7f94a9f89271c44ce2597d06a1295aadc4cbb0f; 1 464 580,00 ;; 1 464 580,00 ;ok;;;;
token not transferred;0xfebb1a915906ca6538ff547565aa7db6a795c482; 1 455 700,33 ;; 1 455 700,33 ;ok;;;;
token not transferred;0x21198b1d6720eddbadabf0738b22950c23da76c0; 1 448 946,06 ;; 1 448 946,06 ;ok;;;;
transfer to 249F;0x06573430ebd1e48bb5f528763c81cd455ea98885; 1 393 386,83 ;; 1 393 386,83 ;ok;;;;
transfer to 249F;0x13d1e534c112a108c9275e49717092077b90aaa7; 1 389 524,25 ;; 1 389 524,25 ;ok;;;;
transfer to 249F;0x82917a91f7ef878af7949ebec30fa458a363af02; 1 370 479,60 ;; 1 370 479,60 ;ok;;;;
transfer to 249F;0xb0b6471c34b49b8645929783ffe64a1c0aa148df; 1 370 082,34 ;; 1 370 082,34 ;ok;;;;
transfer to 249F;0xfc0aa72f54b646913844785e03fde85d41b48db6; 1 353 076,60 ;; 1 353 076,60 ;ok;;;;
token not transferred;0xa052045fa009d31ca79fce828f5f3af52712f504; 1 300 447,81 ;; 1 300 447,81 ;ok;;;;
transfer to 249F;0xb94c1d9a78587383127c914056972f7782e0ee54; 1 297 532,83 ;; 1 297 532,83 ;ok;;;;
token not transferred;0x12f8641d4fb9ac00e9cb614430b0fab79d2ec501; 1 297 149,97 ;; 1 297 149,97 ;ok;;;;
transfer to 249F;0xad721c0dbb0573343c6161fea5097027bb29b4b5; 1 294 078,12 ;; 1 294 078,12 ;ok;;;;
transfer to 249F;0x86e140ef72f73f2a305fc9b6f1f057b1c2f822fa; 1 282 493,98 ;; 1 282 493,98 ;ok;;;;
transfer to 249F;0x5364fc67224c2be6826b40a1fd0bbcf311ce37fc; 1 281 790,44 ;; 1 281 790,44 ;ok;;;;
token not transferred;0xcbf4a4af9c8fe0df6062631daebf41f2bc667f91; 1 270 699,49 ;; 1 270 699,49 ;ok;;;;
token not transferred;0x6dbfb33bf3b6a2d00208164db537a09906ae845e; 1 255 552,70 ;; 1 255 552,70 ;ok;;;;
token not transferred;0x79406ab348f17481217acdaf2d2add5d92ede59a; 1 255 002,09 ;; 1 255 002,09 ;ok;;;;
token not transferred;0x3a194d0f05f3f62ab38a48a7b917a78ecebe18db; 1 252 111,23 ;; 1 252 111,23 ;ok;;;;
transfer to 249F;0x850afef644d2985b0a30cec7086a598006a571b0; 1 234 082,68 ;; 1 234 082,68 ;ok;;;;
token not transferred;0xc768c77f76836818a5c7a39fe74955db6c208622; 1 224 095,21 ;; 1 224 095,21 ;ok;;;;
